Name,Description,Campus,Research Categories,Citizenship Req,Preferred Major,School/Dept,Professor,More Info
A microfluidics approach for detecting alpha-synuclein seeds in biospecimens from Parkinsons disease patients,"Seed amplification assays (SAAs) are a powerful method to detect alpha-synuclein (aSyn) aggregates (or seeds) in biospecimens from Parkinson's disease (PD) patients. These assays capitalize on the ability of misfolded aSyn seeds in a biospecimen to induce the aggregation of recombinant aSyn monomers into fibrils, which can then be detected using a fluorescent dye. One of the primary limitations of SAAs is their long duration, resulting from a prolonged lag time before detectable aggregation occurs. To address this challenge, our group aims to optimize several assay parameters to reduce the overall assay time. Specifically, the SURF involved in this project will examine various solution conditions, adjust the amount of input biospecimen, use different extraction steps to clean up the biospecimen, and test different recombinant aSyn variants as the monomeric form added to the assay. Beyond these optimizations, the student (along with graduate students in our lab) will collaborate with Purdue engineers who specialize in injectors and microfluidics to further accelerate the templated aggregation process central to the SAA. By incorporating advanced microfluidic techniques, we aim to enhance the efficiency of seed-monomer interactions and reduce the time required for fibril formation. Our multi-faceted approach is designed to make SAAs a faster and more reliable diagnostic tool, ultimately improving the early detection and monitoring of PD.",West Lafayette,Other,U.S. Citizen,No Major Restriction,Medicinal Chemistry and Molecular Pharmacology,Chris Rochet,https://www.mcmp.purdue.edu/faculty/jrochet
Acoustic and Electric-Fields to Enhance Membrane Filtration in Water and Air,"This interdisciplinary project explores innovative technologies for separation processes, integrating acoustic forces and electric-field interactions with membranes to address critical challenges in air and water purification. The research combines fluid mechanics, catalysis, aerosol transport, and optics principles to develop high-efficiency filtration and separation systems. The technology aims to protect human health and sustainability through new capabilities to remove bioaerosols (e.g. containing viruses), smoke from fires and fossil fuels, and contaminants in the water. Acoustic Forces for Air Filtration Acoustic air cleaning leverages acoustic standing waves and streaming forces to manipulate aerosol movement within flowing streams. By harnessing these forces, it becomes possible to control the transport and capture of aerosols, including particulate matter (PM) 2.5 and other airborne pollutants. This project aims to enhance the performance of fiber filters by using acoustic forces to direct aerosols toward filter fibers, addressing challenges associated with the most penetrating particle sizes (MPPS).Currently, a bench-scale experimental setup is under construction to validate these findings. This setup will include: Generation of realistic aerosols to simulate real-world particle size distributions. Integration of acoustic filtration devices within a controlled airflow duct. Measurement of particle concentrations upstream and downstream to evaluate filtration performance. Electric-Field Interaction for Water Filtration This component focuses on self-generated electric fields in membranes submerged in aqueous solutions, where catalytic reactions at membrane surfaces drive fluid flow. The project aims to understand and optimize the interactions between electric fields and fluid transport by coupling electrokinetic effects with advanced separation techniques. Particle tracking velocimetry (PTV) will be employed to visualize and quantify the flow behavior near the membranes. Membrane related technologies Synthetic membranes are ubiquitous in various fields, such as separation processes, desalination, and reactor systems. We are developing innovative methods for high-efficiency air conditioning, using water vapor-selective membranes for dehumidification. With new process designs and novel material enhancements, such a technology can provide significant energy savings for buildings. Since HVAC operations account for nearly 20% of the primary energy consumed in the US, developing more efficient cooling systems is a significant target for combating global warming and resource depletion. We also investigate whether current membrane distillation (MD) systems can be made more efficient. This includes work on the effect of tilt angle on air gap MD performance, system optimization, new modeling techniques for MD, superhydrophobic condensing for MD, and design of multistage MD systems.  The analysis for these systems includes thermodynamic and heat transfer modeling with Engineering Equation Solver, designing and building experimental systems for testing heat transfer enhancements and the efficiency of new configurations.",West Lafayette,"Energy and Environment, Engineering the Built Environment, Fluid Modelling and Simulation, Material Modeling and Simulation, Material Processing and Characterization, Nanotechnology",No citizenship requirements,Mechanical Engineering Civil Engineering Chemical Engineering Materials Engineering,School of Mechanical Engineering,David Warsinger,www.warsinger.com
Additively Manufactured Reactive Structures,"In this project we are focused on multifunctional energetic materials. The objective of this project is to use fused deposition modeling (FDM) to print and characterize structures that are also reactive. The REU student would work closely with Research Scientists and graduate students to design experiments, perform experiments, analyze data, and report/share these results. Research categories: propellants, combustion, advanced materials Preferred major(s): No Major Restriction Desired experience: AAMP-UP asks that each student applicant have finished 1 semester of higher education, be currently enrolled in a college or university, and graduate after August 2025. In addition, students must be U.S. Citizens or U.S. Persons. No prior experience with the U.S. military is required. No summer classes are allowed.",West Lafayette,"Heterogeneous Integration, Material Processing and Characterization, Other","U.S. Citizen, U.S. Permanent Resident",No Major Restriction Mechanical Engineering Materials Engineering Aeronautical and Astronautical Engineering Chemical Engineering,School of Mechanical Engineering,Steven Son,https://web.ics.purdue.edu/~sson/Son_Webpage/SonWeb_index.html
Advanced High-Density Fuels in Energetic Materials,"Description: High density fuels, typically metals, are commonly added to propellants and explosives to improve their performance, as well as other factors such as sensitivity and toxicity. This research topic explores the development, small-scale manufacturing, and characterization of high-density fuels in energetic materials. Emphasis is placed on emergent material systems, such as aluminum-lithium alloys, oxide-free coated nano-aluminum, and mechanically activated (MA) fuels. The REU student would work closely with Research Scientists and graduate students to design experiments, perform experiments, analyze data, and report/share these results. This project is from the AAMP-UP summer program, which provides STEM undergraduates the chance to participate in national defense and military research. The program is sponsored by the U.S. Army Research Laboratory in Aberdeen, MD. Research categories: advanced materials, combustion, propellants",West Lafayette,"Composite Materials and Alloys, Heterogeneous Integration, Material Processing and Characterization, Other","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,School of Mechanical Engineering,Steven Son,https://web.ics.purdue.edu/~sson/Son_Webpage/SonWeb_index.html
Aerodynamic Tail and Feet design for Legged Robots,"Students can expect to work closely with a PostDoctoral researcher in the lab on designing, fine-tuning, fabricating, and validating aerodynamic tails, feet, and legs for robot dogs to expand their locomotion capabilities. Students should be willing to work with different materials, 3D printing, injection molding, and machining.",West Lafayette,"Fabrication and Robotics, Material Modeling and Simulation, Material Processing and Characterization, Medical Science and Technology, Microelectronics",No citizenship requirements,No Major Restriction Mechanical Engineering Materials Engineering Industrial Design Electrical Engineering,Department of Agricultural and Biological Engineering,Upinder Kaur,N/A
All-Optical Neural Networks for Artificial Intelligence,"Machine learning techniques, particularly those based on artificial neural networks (ANNs), have significantly advanced fields such as computer vision and natural language processing, as well as fundamental studies in physics and materials science. Despite considerable advancements in AI algorithms and hardware optimizations aimed at reducing model sizes and accelerating inference and training processes, most efforts have thus far concentrated on traditional electronic systems, including CPUs, GPUs, FPGAs, and ASICs. These systems, while powerful, consume substantial amounts of energy and are unable to meet the increasing demands of rapidly growing data volumes, especially as we approach the limits of Moore's Law. Optical implementation of AI modules, such as optical neural networks (ONNs), presents a compelling alternative that leverages inherent parallelism, high-speed computation, and potential for low energy consumption. Notably, recent studies show that the energy cost of optical implementations has the potential to be 2?? orders of magnitude less than that of state-of-the-art CMOS implementations. The wave nature and superposition principle of light enables natural parallel processing, such as performing matrix-vector multiplications in constant time?? stark contrast to the quadratic time complexity of digital electronic processors. Additionally, ONNs can execute complex-valued arithmetic by encoding information in both the phase and magnitude of light, further exploiting the unrivaled speed of light as an information carrier. In this project, the SURF undergraduate student will work with a graduate student to develop both opto-electronic hardware and software for implementing an all-optical neural network, and apply it for AI applications. I expect the SURF undergraduate student play the same role as a graduate student, and have opportunities for coauthor-ship and coinventor-ship.",West Lafayette,"Advanced Packaging, Deep Learning, Other",No citizenship requirements,Electrical Engineering Physics Computer Engineering Computer Science,Elmore Family School of Electrical and Computer Engineering,Shengwang Du,https://engineering.purdue.edu/QuantumOptics
Analysis of thermal systems using environmentally friendly working fluids,"This project will include the design and testing of fluids, components and systems used for decarbonization of heating and cooling of building and industrial processes. Utilizing waste heat and providing additional heat to buildings and industrial processes without burning fossil fuels is continuing to grow in interest. However, this must be done with working fluids that are also environmentally friendly. This work will investigate fluid properties, heat exchanger and compressor design, and system (high-temperature heat pump) testing and control for decarbonization efforts.",West Lafayette,"Ecology and Sustainability, Energy and Environment, Engineering the Built Environment, Thermal Technology",No citizenship requirements,Mechanical Engineering Aeronautical and Astronautical Engineering Chemical Engineering,School of Mechanical Engineering,Riley Barta,https://engineering.purdue.edu/BartaGroup/research
Antibiotic peptide encapsulation into nanoparticles for improved drug delivery,"Biologics ??peptide, protein, and nucleic acid therapeutics ??are highly potent drug molecules that selectively interact with biological markers, thus reducing off-target side effects. Effective biologic therapies (1) reach the site of action intact and (2) sustain therapeutic concentrations at the site of action. Accomplishing these objectives is challenging due to potential degradation under physiological conditions, specifically pH, enzymes, and surfactants, which can limit therapeutic efficacy. Processing biologics into nanoparticles (NPs) is an attractive approach to overcoming these delivery challenges, with demonstrated commercial success for mRNA in the COVID-19 lipid nanoparticle vaccines. The Ristroph Lab at Purdue University has developed an effective method for efficiently encapsulating peptides and proteins into polymeric NPs at large scales that relies on hydrophobic ion pairing (HIP). HIP is a solubility engineering technique that electrostatically complexes a charged hydrophilic molecule with a hydrophobic counterion to produce a water-insoluble salt that can then be encapsulated via Flash Nanoprecipitation (FNP). When this technique is used to encapsulate peptides and proteins, the biologic-counterion complex precipitated in NP cores forms liquid crystalline structures (LCs) that depend on the counterion and environmental pH. Previous work demonstrated different LC phases control peptide/protein release in vitro. The assembly kinetics and dynamics of LC structures in the cores of polymeric NPs and the design rules governing these different LC phases and, thus, peptide/protein release remain to be elucidated. Sustained release NP formulations for proteins and peptides produced using this technique have several advantages over the delivery of unencapsulated biologics. First, controlled-release formulations increase the residence time of the biologic in the body, potentially decreasing the amount of injected biologic required to achieve a therapeutic effect. Additionally, the biocompatible block co-polymer shell can (1) protect the core material from harsh environmental conditions and (2) be modified to sustain further the release of the biologic from the core. The combination of HIP and FNP can uniquely enable the co-delivery of biologics and hydrophobic small-molecule drugs to have a synergistic effect. To capitalize on the advantages listed above and generate optimized formulations for biologic therapies, a deeper understanding of the relationship between HIP parameters, liquid crystal structure, and release of the biologic is required. This project will focus primarily on quantifying the release rate of a model peptide antibiotic therapeutic from polymeric nanocarriers that have been measured for internal structural information already. The researcher will then work with a graduate mentor to develop correlations between drug release and internal structure.",West Lafayette,Nanotechnology,No citizenship requirements,No Major Restriction,Department of Agricultural and Biological Engineering,Kurt Ristroph,https://www.ristrophlab.com/
Battery Fire Safety,"This research topic seeks to explore the reaction dyanamics involved in battery fires. This includes It will involve experimental design, experiments and analysis. The REU student would work closely with Research Scientists and graduate students to design experiments, perform experiments, analyze data, and report/share these results. Research categories: dynamic experimentation, batteries",West Lafayette,"Energy and Environment, Other","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,School of Mechanical Engineering,Steven Son,https://web.ics.purdue.edu/~sson/Son_Webpage/SonWeb_index.html
Bioinformatics analyses in organoid models,"Project Description: This project focuses on bioinformatics analyses in organoid-based models, aiming to identify key biological pathways and interactions within engineered human tissues. The research integrates multi-omics datasets, such as transcriptomics, proteomics, and epigenomics, to uncover insights into organoid development, disease modeling, and therapeutic responses. Student Role: The student will actively contribute to the project by performing bioinformatics analyses, including data preprocessing, statistical analysis, and visualization of multi-omics datasets. They will gain hands-on experience in using programming languages such as R for data analysis and identifying key biomarkers. The student will also collaborate with wet lab researchers to integrate bioinformatics findings with experimental data. Additional responsibilities include presenting findings in lab meetings and contributing to the preparation of research manuscripts.",West Lafayette,"Big Data/Machine Learning, Biological Characterization and Imaging, Biological Simulation and Technology, Biotechnology Data Insights, Cellular Biology, Genetics, Medical Science and Technology",No citizenship requirements,Biomedical Engineering Computer Engineering Computer and Information Technology Computer Engineering Technology Computer Science Cell Molecular and Developmental Biology Biochemistry,Weldon School of Biomedical Engineering,Estelle Park,https://engineering.purdue.edu/PARKLAB/
Building Next-Generation Agricultural IoTs using Drones and LoRA,"This project aims to leverage the integration of drones with IoT network infrastructure, especially Long Range (LoRa) to create next-generation agricultural IoT systems. LoRa technology provides long-range, low-power, and cost-effective solutions for scalable communication in rural and agricultural environments. Integrating drones offers enhanced mobility and flexibility that overcome the limitations of fixed gateways, providing dynamic deployment, extended coverage, and real-time data collection. This combination opens up opportunities for innovative communication methods and intelligent data-driven decision-making. The project?? outcome will be innovations in agricultural applications such as resource management, localization, and sensing. Furthermore, the integration of AI and ML can be applied in the following ways: optimizing network operations and communication protocols to enhance efficiency and reliability, and improving data processing from distributed IoT sensors to enable effective agricultural monitoring and informed decision-making.",West Lafayette,"Internet of Things (IoT), IoT for Precision Agriculture, Mobile Computing",No citizenship requirements,Computer Science Computer Engineering Computer and Information Technology,Computer Science,Chunyi Peng,N/A
